,Year,Value,Month
68,1948,0.14,5
69,1949,-0.01,5
70,1950,-0.06,5
71,1951,0.06,5
72,1952,0.03,5
73,1953,0.14,5
74,1954,-0.2,5
75,1955,-0.13,5
76,1956,-0.23,5
77,1957,0.11,5
78,1958,0.1,5
79,1959,0.03,5
80,1960,-0.09,5
81,1961,0.16,5
82,1962,0.06,5
83,1963,0.01,5
84,1964,-0.1,5
85,1965,-0.08,5
86,1966,-0.03,5
87,1967,0.12,5
88,1968,-0.08,5
89,1969,0.17,5
90,1970,0.04,5
91,1971,-0.09,5
92,1972,0.02,5
93,1973,0.21,5
94,1974,-0.02,5
95,1975,0.07,5
96,1976,-0.12,5
97,1977,0.24,5
98,1978,0.06,5
99,1979,0.16,5
100,1980,0.32,5
101,1981,0.27,5
102,1982,0.2,5
103,1983,0.3,5
104,1984,0.29,5
105,1985,0.2,5
106,1986,0.25,5
107,1987,0.34,5
108,1988,0.38,5
109,1989,0.28,5
110,1990,0.43,5
111,1991,0.42,5
112,1992,0.33,5
113,1993,0.35,5
114,1994,0.38,5
115,1995,0.36,5
116,1996,0.39,5
117,1997,0.43,5
118,1998,0.67,5
119,1999,0.41,5
120,2000,0.47,5
121,2001,0.6,5
122,2002,0.57,5
123,2003,0.6,5
124,2004,0.45,5
125,2005,0.66,5
126,2006,0.55,5
127,2007,0.61,5
128,2008,0.5,5
129,2009,0.59,5
130,2010,0.76,5
131,2011,0.57,5
132,2012,0.72,5
133,2013,0.71,5
134,2014,0.8,5
135,2015,0.86,5
0,1880,-0.17,6
1,1881,-0.1,6
2,1882,-0.15,6
3,1883,-0.01,6
4,1884,-0.2,6
5,1885,-0.32,6
6,1886,-0.25,6
7,1887,-0.22,6
8,1888,-0.1,6
9,1889,-0.07,6
10,1890,-0.3,6
11,1891,-0.2,6
12,1892,-0.28,6
13,1893,-0.23,6
14,1894,-0.34,6
15,1895,-0.3,6
16,1896,-0.08,6
17,1897,-0.1,6
18,1898,-0.21,6
19,1899,-0.2,6
20,1900,-0.04,6
21,1901,-0.13,6
22,1902,-0.33,6
23,1903,-0.38,6
24,1904,-0.44,6
25,1905,-0.25,6
26,1906,-0.17,6
27,1907,-0.37,6
28,1908,-0.4,6
29,1909,-0.42,6
30,1910,-0.36,6
31,1911,-0.44,6
32,1912,-0.27,6
33,1913,-0.39,6
34,1914,-0.2,6
35,1915,-0.09,6
36,1916,-0.38,6
37,1917,-0.35,6
38,1918,-0.17,6
39,1919,-0.23,6
40,1920,-0.26,6
41,1921,-0.17,6
42,1922,-0.29,6
43,1923,-0.2,6
44,1924,-0.23,6
45,1925,-0.23,6
46,1926,-0.12,6
47,1927,-0.2,6
48,1928,-0.28,6
49,1929,-0.28,6
50,1930,-0.08,6
51,1931,-0.03,6
52,1932,-0.16,6
53,1933,-0.2,6
54,1934,-0.01,6
55,1935,-0.17,6
56,1936,-0.11,6
57,1937,0.01,6
58,1938,-0.1,6
59,1939,-0.01,6
60,1940,0.1,6
61,1941,0.16,6
