sender	recipient	total
008641	001767	5.54166666667
000243	009726	5.53333333333
030589	009941	5.51666666667
010870	020406	5.50952380952
028257	014507	5.5
038081	038081	5.5
028096	034814	5.5
019537	009773	5.5
006027	037721	5.5
000180	014516	5.5
005022	031915	5.5
038947	038947	5.5
000077	011702	5.5
029985	028564	5.5
009360	023587	5.5
025049	025049	5.5
005064	011237	5.5
009697	020112	5.5
029903	022936	5.5
029903	026182	5.5
014234	008733	5.5
038319	031287	5.5
035077	002292	5.5
036298	037513	5.5
029939	029624	5.5
017833	025758	5.5
023636	023636	5.5
033126	014591	5.5
026187	034430	5.5
033182	020832	5.5
005145	001927	5.5
025878	029692	5.5
002903	029700	5.5
023656	027721	5.5
028257	014044	5.5
030988	004280	5.5
000243	030099	5.5
011711	033934	5.5
026865	010087	5.5
006768	025024	5.5
031410	024504	5.5
012926	009837	5.5
036919	023834	5.5
008020	008015	5.5
020442	022189	5.5
001783	001783	5.5
003671	019320	5.5
031865	036398	5.5
005756	023651	5.5
010421	028077	5.5
013445	013041	5.5
032810	004349	5.43333333333
023651	019708	5.41666666667
002234	022445	5.375
002234	033687	5.375
013280	020861	5.36666666667
017850	021995	5.33333333333
012579	002901	5.33333333333
029805	012499	5.33333333333
038438	003101	5.33333333333
007993	036060	5.33333333333
016224	017453	5.33333333333
023775	016215	5.33333333333
037958	017569	5.33333333333
005629	001359	5.33333333333
010685	035981	5.33333333333
011502	026858	5.33333333333
007029	028894	5.33333333333
011886	005034	5.33333333333
038162	002139	5.33333333333
018074	009478	5.33333333333
019378	007083	5.33333333333
033703	003095	5.33333333333
003520	026749	5.33333333333
001178	013881	5.33333333333
019197	011505	5.33333333333
010685	017992	5.33333333333
029794	019653	5.33333333333
000336	016309	5.30952380952
016088	015769	5.28333333333
029387	024373	5.27619047619
037108	029359	5.25833333333
012991	017508	5.25
012978	024979	5.25
026733	026733	5.25
015903	021975	5.25
018841	021176	5.2380952381
028635	002966	5.21666666667
002191	008641	5.20833333333
019043	016088	5.2
037796	018764	5.2
018407	018407	5.2
001839	038402	5.2
009554	024998	5.2
037928	036515	5.18333333333
029053	002966	5.17063492063
002666	000222	5.16666666667
015888	027548	5.16666666667
000428	000428	5.16666666667
018910	027141	5.16666666667
028069	002912	5.16666666667
039367	022044	5.16666666667
007993	005558	5.16666666667
015471	024766	5.16666666667
005425	037796	5.15
010619	038337	5.14285714286
036771	033652	5.14285714286
013280	003789	5.11666666667
012810	031977	5.11111111111
023620	033348	5.11111111111
031975	005438	5.10833333333
002912	002191	5.09090909091
025256	001364	5.09090909091
009489	020669	5.08333333333
036787	036787	5.08333333333
007385	028608	5.06666666667
032859	019449	5.06515151515
016006	038445	5.03333333333
028722	024138	5.01666666667
024914	039432	5.00833333333
024914	025956	5.00833333333
024914	024914	5.00833333333
024914	019099	5.00833333333
001604	034465	5.0
016667	013439	5.0
008428	012520	5.0
035603	027076	5.0
036185	017543	5.0
010087	026865	5.0
009423	007082	5.0
029624	036850	5.0
015112	000758	5.0
002489	034711	5.0
002489	006148	5.0
009433	011958	5.0
009433	030290	5.0
015857	001859	5.0
037796	005425	5.0
033972	005715	5.0
004177	030330	5.0
036491	036060	5.0
037178	037178	5.0
001642	012251	5.0
008227	024163	5.0
031951	024988	5.0
033789	036708	5.0
005103	008811	5.0
013971	004797	5.0
016979	007482	5.0
036640	016534	5.0
017089	017089	5.0
019689	019689	5.0
037942	007883	5.0
032150	035588	5.0
029939	009478	5.0
033652	002912	5.0
002696	038285	5.0
037896	012139	5.0
002697	039052	5.0
002524	030815	5.0
004663	000063	5.0
037818	003169	5.0
035859	005303	5.0
015903	033652	5.0
003477	003477	5.0
037226	002284	5.0
015941	024309	5.0
022503	026858	5.0
029771	006409	5.0
020453	009374	5.0
034587	011812	5.0
031100	019708	5.0
003255	012251	5.0
