DCP RECORD,Book ID .,Building Address,Building Name,Building Location,Year Completed,Community District,Block,Lot,,,,,,,,,,,,,,,,,,Public Space 1
611,149,201 East 17th Street,Park Towers Medical Plaza,East side of Third Avenue between East 17th and 18th Streets,1973,6,898,1,,,,,,,,,,,,,,,,,,Urban Plaza
686,150,353 East 17th Street,Gilman Hall,Northwest corner of First Avenue and East 17th Street,1969,6,923,31,,,,,,,,,,,,,,,,,,Building Entrance Recess Area
612,151,200 East 24th Street,Crystal House,Southeast corner of East 24th Street and Third Avenue,1972,6,904,50,,,,,,,,,,,,,,,,,,Plaza
614,152,240 East 27th Street,Parc East Tower Apartments,Southwest corner of East 27th Street and Second Avenue,1977,6,907,25,,,,,,,,,,,,,,,,,,Urban Plaza
602,153,155 East 29th Street,Biltmore Plaza,Northwest corner of East 29th Street and Third Avenue,1981,6,885,42,,,,,,,,,,,,,,,,,,Urban Plaza
603,154,155 East 31st Street,Windsor Court,North side of East 31st Street between Third and Lexington Avenues,1987,6,887,30,,,,,,,,,,,,,,,,,,Through Block Galleria
685,155,200 East 32nd Street,Future,East side of Third Avenue between East 31st and 32nd Streets,1992,6,912,1101,1271,,,,,,,,,,,,,,,,,Urban Plaza
615,156,200 East 33rd Street,Laurence Tower,East side of Third Avenue between East 32nd and 33rd Streets,1972,6,913,1,,,,,,,,,,,,,,,,,,Urban Plaza
620,157,300 East 34th Street,,East side of Second Avenue between East 33rd and 34th Streets,1974,6,939,1,,,,,,,,,,,,,,,,,,Urban Plaza
606,158,166 East 34th Street,,West side of Third Avenue between East 33rd and 34th Streets,1974,6,889,39,,,,,,,,,,,,,,,,,,Through Block Connection
605,159,150 East 34th Street,Dumont Plaza,South side of East 34th Street between Third and Lexington  Avenues,1987,6,889,55,,,,,,,,,,,,,,,,,,Urban Plaza
679,160,243 Lexington Avenue,,Northeast corner of Lexington Avenue and East 34th Street,1998,6,890,25,,,28,29,30,,,,,,,,,,,,,Urban Plaza
607,161,115 East 34th Street,Murray Hill,North side of East 34th Street between Lexington and Park Avenues,1980,6,890,11,,,,,,,,,,,,,,,,,,Through Block Connection
608,162,132 East 35th Street,Murray Hill House,West side of Lexington Avenue between East 34th and 35th Streets,1969,6,890,20,,,,,,,,,,,,,,,,,,Shubert Alley Extension
682,163,401 East 34th Street,Rivergate,"Entire block bounded by FDR Drive, First Avenue, East 34th Street, and East 35th Street",1985,6,966,1,,,,,,,,,,,,,,,,,,Arcade
625,164,630 First Avenue,Manhattan Place,Full blockfront on east side of First Avenue between East 36th and 37th Streets,1984,6,968,1,,,,,,,,,,,,,,,,,,Residential Plaza
683,165,137 East 36th Street,Carlton Regency,Northeast corner of Lexington Avenue and East 36th Street,1966,6,892,25,,,,,,,,,,,,,,,,,,Plaza
684,166,285 Lexington Avenue,Carlton Regency North,Southeast corner of Lexington Avenue and East 37th Street,1974,6,892,62,,,,,,,,,,,,,,,,,,Urban Plaza
609,167,560 Third Avenue,Murray Hill Mews,West side of Third Avenue between East 37th and 38th Streets,1974,6,893,41,,,,,,,,,,,,,,,,,,Public Plaza
616,168,240 East 38th Street,,South side of 38th Street between Second and Third Avenues,1967,6,918,21,,,,,,,,,,,,,,,,,,
623,169,311 East 38th Street,Whitney,North side of East 38th Street between First and Second Avenues,1984,6,944,6,,,,,,,,,,,,,,,,,,
622,170,330 East 39th Street,New York Tower,South side of East 39th Street between First and Second Avenues,1980,6,944,10,,,,,,,,,,,,,,,,,,
621,171,330 East 38th Street,Corinthian,West side of First Avenue between East 37th and 38th Streets,1987,6,943,1001,1821,,,,,,,,,,,,,,,,,Plaza
